,team,rank,wins,losses,ties,points,auto,rotor,touchpad,pressure
0,frc3366,1,10,1,0,2521.0,470.0,1220.0,900.0,46.0
1,frc1477,2,10,1,0,2517.0,309.0,1100.0,950.0,7.0
2,frc118,3,9,2,0,2280.0,358.0,1100.0,750.0,230.0
3,frc2481,4,9,2,0,2591.0,347.0,1280.0,950.0,121.0
4,frc5572,5,8,3,0,2254.0,310.0,980.0,950.0,14.0
5,frc3847,6,7,3,1,1941.0,322.0,1020.0,700.0,41.0
6,frc418,7,8,3,0,1858.0,335.0,940.0,650.0,8.0
7,frc5411,8,8,3,0,1810.0,260.0,960.0,400.0,5.0
8,frc1817,9,7,4,0,2045.0,387.0,1080.0,600.0,5.0
9,frc4696,10,7,3,0,1967.0,213.0,880.0,900.0,7.0
10,frc935,11,7,4,0,1930.0,125.0,840.0,700.0,5.0
11,frc5866,12,7,4,0,1844.0,248.0,880.0,700.0,29.0
12,frc2657,13,7,4,0,1742.0,305.0,980.0,500.0,27.0
13,frc2352,14,6,4,1,2041.0,321.0,980.0,850.0,6.0
14,frc192,15,6,5,0,2227.0,248.0,1040.0,800.0,32.0
15,frc624,16,6,5,0,2133.0,450.0,1100.0,650.0,8.0
16,frc2468,17,6,5,0,1943.0,475.0,1040.0,600.0,3.0
17,frc159,18,6,5,0,1909.0,199.0,980.0,600.0,4.0
18,frc2613,19,6,5,0,1850.0,240.0,1000.0,600.0,0.0
19,frc5829,20,6,5,0,1745.0,250.0,920.0,500.0,0.0
20,frc6144,21,6,5,0,1626.0,230.0,940.0,450.0,41.0
21,frc4717,22,6,4,0,1506.0,316.0,900.0,350.0,26.0
22,frc5613,23,6,5,0,1501.0,191.0,700.0,500.0,21.0
23,frc2164,24,5,6,0,2040.0,320.0,1140.0,700.0,0.0
24,frc1164,25,5,6,0,1823.0,402.0,1000.0,550.0,38.0
25,frc4063,26,5,6,0,1799.0,260.0,920.0,550.0,49.0
26,frc5550,27,5,6,0,1694.0,302.0,940.0,500.0,4.0
27,frc4603,28,5,6,0,1678.0,208.0,900.0,600.0,28.0
28,frc3043,29,5,6,0,1608.0,248.0,960.0,400.0,33.0
29,frc5960,30,4,6,1,1519.0,133.0,840.0,450.0,9.0
30,frc5783,31,4,7,0,1288.0,231.0,860.0,200.0,53.0
31,frc4499,32,4,7,0,1992.0,311.0,980.0,600.0,57.0
32,frc4799,33,4,7,0,1785.0,138.0,880.0,600.0,15.0
33,frc3305,34,4,7,0,1562.0,262.0,920.0,400.0,17.0
34,frc3735,35,4,7,0,1455.0,211.0,900.0,350.0,55.0
35,frc4734,36,4,7,0,1186.0,286.0,740.0,300.0,6.0
36,frc5888,37,3,7,1,1406.0,280.0,820.0,400.0,1.0
37,frc2341,38,3,8,0,1925.0,352.0,980.0,650.0,30.0
38,frc5771,39,3,7,0,1302.0,197.0,820.0,300.0,22.0
39,frc4298,40,3,8,0,1302.0,173.0,780.0,300.0,32.0
40,frc2395,41,2,8,1,1601.0,364.0,960.0,400.0,16.0
41,frc4694,42,2,9,0,1674.0,329.0,780.0,700.0,9.0
42,frc6430,43,2,9,0,1632.0,329.0,940.0,450.0,7.0
43,frc5312,44,2,9,0,1476.0,342.0,940.0,250.0,41.0
44,frc4364,45,2,9,0,1278.0,200.0,700.0,300.0,33.0
